1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
404	-0.866790	238.794969	0.010921	8.6
405	-1.594309	238.511701	0.014568	8.9
406	-0.815293	238.229327	0.009912	11.1
407	-0.385518	237.947843	0.002991	9.7
408	-0.784122	237.667244	0.004081	8.2
409	-0.718676	237.387526	0.006823	10.3
410	-1.567310	237.108684	0.041696	8.4
411	-0.583519	236.830714	0.004846	9.6
412	-1.666469	236.553610	0.039773	8.9
413	-0.684945	236.277370	0.014124	8.5
414	-1.561667	236.001989	0.010370	12.5
415	-0.271254	235.727461	0.005158	8.4
416	-0.673019	235.453784	0.015083	9.0
417	-1.266051	235.180952	0.033643	8.2
418	-0.956663	234.908962	0.010178	10.5
419	-0.125511	234.637809	0.001408	8.8
420	-0.751552	234.367488	0.008099	9.9
421	-1.629308	234.097997	0.024658	8.6
422	-1.094571	233.829331	0.016745	9.7
423	-0.182444	233.561485	0.001754	9.9
424	-1.656736	233.294456	0.032007	7.8
425	-1.547510	233.028239	0.017929	7.7
426	-0.728772	232.762831	0.006006	9.3
427	-1.382236	232.498228	0.010037	9.7
428	-0.671925	232.234425	0.011055	8.3
429	-1.290203	231.971419	0.020024	9.8
430	-1.262592	231.709205	0.020002	8.3
431	-1.658800	231.447781	0.019940	10.3
432	-1.371979	231.187141	0.009242	9.0
433	-1.087044	230.927283	0.022933	8.8
434	-1.682011	230.668202	0.018530	8.3
435	-1.552190	230.409895	0.023195	8.0
436	-0.760931	230.152358	0.009810	11.8
437	-1.546324	229.895587	0.017122	8.5
438	-1.497821	229.639578	0.021217	8.2
439	-0.465597	229.384329	0.010769	7.8
440	-1.363627	229.129834	0.013312	10.1
441	-1.522947	228.876091	0.014604	11.1
442	-1.419088	228.623096	0.014446	7.7
443	-1.265892	228.370846	0.015576	8.5
444	-0.675944	228.119336	0.013242	9.9
445	-0.302665	227.868563	0.005035	10.2
446	-1.643005	227.618525	0.010392	8.7
447	-1.396740	227.369216	0.022232	8.5
448	-0.290468	227.120635	0.003262	8.4
449	-1.240435	226.872777	0.019226	9.7
450	-1.037658	226.625638	0.019450	10.1
451	-1.594428	226.379217	0.024748	8.4
452	-1.649504	226.133509	0.020022	8.3
453	-0.454612	225.888510	0.004367	10.2
454	-0.495500	225.644218	0.006098	9.5
455	-1.499966	225.400630	0.019277	7.8
